order,model_2.output1.net.result,prediction,actual,0.657998913,ANN Forecast Value,Train Sets Accuracy (Total=65.80%),prediction,ratio
1,0.418710728,0,1,0,>0.9,91.85%,466,0.01808585
2,0.299088901,0,0,1,>0.8,83.12%,1967,0.076340914
3,0.434044399,0,0,1,>0.7,76.06%,2310,0.089653031
4,0.86032112,1,1,1,>0.6,66.10%,2631,0.102111309
5,0.416184032,0,1,0,>0.5,54.11%,3979,0.154428316
6,0.442768164,0,0,1,>0.4,55.35%,5566,0.216021113
7,0.474605876,0,1,0,>0.3,65.45%,5027,0.195102072
8,0.653255055,1,1,1,>0.2,73.81%,3024,0.117363968
9,0.468372621,0,1,0,>0.1,80.78%,765,0.02969029
10,0.36530542,0,0,1,>0,67.74%,31,0.001203136
11,0.378559712,0,0,1,,,25766,
12,0.904005077,1,1,1,,,,
13,0.41213856,0,0,1,,,,
14,0.434929267,0,1,0,,,,
15,0.466782856,0,0,1,,,,
16,0.389270507,0,1,0,,,,
17,0.211712714,0,0,1,,,,
18,0.901021454,1,1,1,,,,
19,0.498348623,0,0,1,,,,
20,0.175482809,0,0,1,,,,
21,0.345453598,0,0,1,,,,
22,0.674208979,1,0,0,,,,
23,0.645884867,1,0,0,,,,
24,0.478280368,0,0,1,,,,
25,0.912515943,1,1,1,,,,
26,0.675252278,1,0,0,,,,
27,0.304750735,0,1,0,,,,
28,0.517054443,1,1,1,,,,
29,0.221253807,0,0,1,,,,
30,0.616499091,1,1,1,,,,
31,0.266019704,0,1,0,,,,
32,0.772678409,1,1,1,,,,
33,0.715964982,1,0,0,,,,
34,0.335183787,0,1,0,,,,
35,0.884389603,1,1,1,,,,
36,0.723044069,1,1,1,,,,
37,0.280166341,0,0,1,,,,
38,0.553742064,1,0,0,,,,
39,0.538291134,1,1,1,,,,
40,0.420748578,0,0,1,,,,
41,0.704734998,1,0,0,,,,
42,0.590195456,1,0,0,,,,
43,0.686105833,1,0,0,,,,
44,0.462932982,0,1,0,,,,
45,0.482451346,0,1,0,,,,
46,0.491691521,0,1,0,,,,
47,0.386042052,0,0,1,,,,
48,0.41574119,0,1,0,,,,
49,0.714052938,1,0,0,,,,
50,0.184558479,0,1,0,,,,
51,0.524842491,1,0,0,,,,
52,0.522634207,1,0,0,,,,
53,0.410851548,0,0,1,,,,
54,0.434196168,0,0,1,,,,
55,0.715380025,1,0,0,,,,
56,0.250385025,0,0,1,,,,
57,0.56232057,1,1,1,,,,
58,0.3259868,0,1,0,,,,
59,0.406033607,0,0,1,,,,
60,0.421669794,0,1,0,,,,
61,0.384263123,0,0,1,,,,
62,0.505059475,1,1,1,,,,
63,0.549050032,1,0,0,,,,
64,0.451303189,0,0,1,,,,
65,0.813152284,1,1,1,,,,
66,0.451922723,0,0,1,,,,
67,0.768145945,1,1,1,,,,
68,0.274795637,0,0,1,,,,
69,0.443187158,0,0,1,,,,
70,0.34872444,0,0,1,,,,
71,0.830950598,1,0,0,,,,
72,0.792071585,1,0,0,,,,
73,0.448825266,0,1,0,,,,
74,0.432870716,0,0,1,,,,
75,0.824806097,1,1,1,,,,
76,0.51237124,1,0,0,,,,
77,0.635643282,1,1,1,,,,
78,0.365367375,0,1,0,,,,
79,0.31163005,0,0,1,,,,
80,0.469811203,0,1,0,,,,
81,0.592742975,1,1,1,,,,
82,0.609714262,1,1,1,,,,
83,0.608598057,1,1,1,,,,
84,0.352372889,0,0,1,,,,
85,0.53900645,1,1,1,,,,
86,0.478467766,0,0,1,,,,
87,0.147701405,0,0,1,,,,
88,0.576109072,1,0,0,,,,
89,0.37805492,0,0,1,,,,
90,0.727761952,1,0,0,,,,
91,0.393236769,0,0,1,,,,
92,0.818702365,1,1,1,,,,
93,0.626559471,1,0,0,,,,
94,0.368426845,0,0,1,,,,
95,0.541155528,1,1,1,,,,
96,0.354526236,0,1,0,,,,
97,0.133074846,0,0,1,,,,
98,0.508403401,1,0,0,,,,
99,0.213367169,0,0,1,,,,
100,0.634142262,1,1,1,,,,
101,0.127828493,0,0,1,,,,
102,0.227302679,0,0,1,,,,
103,0.812955734,1,0,0,,,,
104,0.532529934,1,0,0,,,,
105,0.149280951,0,0,1,,,,
106,0.290067086,0,1,0,,,,
107,0.426097614,0,1,0,,,,
108,0.420236229,0,0,1,,,,
109,0.551876022,1,0,0,,,,
110,0.482475999,0,0,1,,,,
111,0.470522334,0,1,0,,,,
112,0.373372319,0,1,0,,,,
113,0.389372063,0,0,1,,,,
