,model_2.output2.net.result,prediction,,,,,,,model_2.output2.net.result,prediction
25767,0.465607761,0,0.9,206,,0.018656041,,25767,0.308546789,0
25768,0.583106476,1,0.8,1076,870,0.078790074,,25768,0.566000205,1
25769,0.336080996,0,0.7,2034,958,0.086759645,,25769,0.48518491,0
25770,0.491014132,0,0.6,3100,1066,0.096540482,,25770,0.518316,1
25771,0.336763681,0,0.5,4816,1716,0.155406629,,25771,0.476022078,0
25772,0.346615067,0,0.4,7261,2445,0.221427278,,25772,0.502313945,1
25773,0.310287964,0,0.3,9425,2164,0.195978989,,25773,0.382194019,0
25774,0.493996378,0,0.2,10699,1274,0.115377649,,25774,0.422046698,0
25775,0.222635971,0,0.1,11025,326,0.029523637,,25775,0.386548441,0
25776,0.509233116,1,0,11042,17,0.001539576,,25776,0.457453902,0
25777,0.50212479,1,,,,,,25777,0.596223347,1
25778,0.863024406,1,,,,,,25778,0.596223347,1
25779,0.507814188,1,,,,,,25779,0.464345632,0
25780,0.652871458,1,,,,,,25780,0.533255164,1
25781,0.290823131,0,,,,,,25781,0.469640702,0
25782,0.480034254,0,,,,,,25782,0.459796716,0
25783,0.371268712,0,,,,,,25783,0.350554197,0
25784,0.449950892,0,,,,,,25784,0.490087744,0
25785,0.324825871,0,,,,,,25785,0.426473791,0
25786,0.309052543,0,,,,,,25786,0.596223347,1
25787,0.66362876,1,,,,,,25787,0.631556399,1
25788,0.639180055,1,,,,,,25788,0.544051877,1
25789,0.56429128,1,,,,,,25789,0.578669755,1
25790,0.275931929,0,,,,,,25790,0.499469274,0
25791,0.733533486,1,,,,,,25791,0.491664215,0
25792,0.813022787,1,,,,,,25792,0.479425606,0
25793,0.705863777,1,,,,,,25793,0.596223347,1
25794,0.579825436,1,,,,,,25794,0.507316842,1
25795,0.419877907,0,,,,,,25795,0.478518433,0
25796,0.442902732,0,,,,,,25796,0.467086905,0
25797,0.63846164,1,,,,,,25797,0.441721951,0
25798,0.58733351,1,,,,,,25798,0.537041078,1
25799,0.825384963,1,,,,,,25799,0.491126182,0
25800,0.56113728,1,,,,,,25800,0.411012729,0
25801,0.650427021,1,,,,,,25801,0.509418399,1
25802,0.335048449,0,,,,,,25802,0.497253242,0
25803,0.3150441,0,,,,,,25803,0.479035416,0
25804,0.269405346,0,,,,,,25804,0.417605662,0
25805,0.319563663,0,,,,,,25805,0.328246969,0
25806,0.280258943,0,,,,,,25806,0.557267292,1
25807,0.793229,1,,,,,,25807,0.596223347,1
25808,0.570226171,1,,,,,,25808,0.739054953,1
25809,0.373935071,0,,,,,,25809,0.596223347,1
25810,0.813126366,1,,,,,,25810,0.596223347,1
25811,0.750872192,1,,,,,,25811,0.596223347,1
25812,0.367892419,0,,,,,,25812,0.497009267,0
25813,0.691211547,1,,,,,,25813,0.552662653,1
25814,0.597749761,1,,,,,,25814,0.512547762,1
25815,0.414842981,0,,,,,,25815,0.463014281,0
25816,0.271222469,0,,,,,,25816,0.329681951,0
25817,0.276101214,0,,,,,,25817,0.497253242,0
25818,0.442550736,0,,,,,,25818,0.384623531,0
25819,0.331162601,0,,,,,,25819,0.473428898,0
25820,0.284433214,0,,,,,,25820,0.478658556,0
25821,0.372731553,0,,,,,,25821,0.596223347,1
25822,0.345042114,0,,,,,,25822,0.474106395,0
25823,0.669024866,1,,,,,,25823,0.526174355,1
25824,0.541153675,1,,,,,,25824,0.435444703,0
25825,0.577242768,1,,,,,,25825,0.632484038,1
25826,0.352930177,0,,,,,,25826,0.549288763,1
25827,0.256011811,0,,,,,,25827,0.467086905,0
25828,0.414601991,0,,,,,,25828,0.364226144,0
25829,0.204338225,0,,,,,,25829,0.342284374,0
25830,0.357386452,0,,,,,,25830,0.426473791,0
25831,0.770590939,1,,,,,,25831,0.416432685,0
25832,0.876180134,1,,,,,,25832,0.596223347,1
25833,0.330229264,0,,,,,,25833,0.533500695,1
25834,0.73400431,1,,,,,,25834,0.596223347,1
25835,0.377712315,0,,,,,,25835,0.664623627,1
25836,0.520013301,1,,,,,,25836,0.347248033,0
25837,0.571194569,1,,,,,,25837,0.542362336,1
25838,0.332008672,0,,,,,,25838,0.467086905,0
25839,0.494145251,0,,,,,,25839,0.402808081,0
25840,0.434725813,0,,,,,,25840,0.497864747,0
25841,0.563812125,1,,,,,,25841,0.503921118,1
25842,0.665470641,1,,,,,,25842,0.58231903,1
25843,0.396656958,0,,,,,,25843,0.467086905,0
25844,0.379208732,0,,,,,,25844,0.493736525,0
25845,0.452838855,0,,,,,,25845,0.436284977,0
25846,0.334597963,0,,,,,,25846,0.56682459,1
25847,0.21525592,0,,,,,,25847,0.478416047,0
25848,0.485279444,0,,,,,,25848,0.467086905,0
25849,0.537336537,1,,,,,,25849,0.596668202,1
25850,0.672217965,1,,,,,,25850,0.596223347,1
25851,0.765831304,1,,,,,,25851,0.531223487,1
25852,0.337737153,0,,,,,,25852,0.493316967,0
25853,0.521865532,1,,,,,,25853,0.546071477,1
25854,0.490755673,0,,,,,,25854,0.507846588,1
25855,0.506717159,1,,,,,,25855,0.504313083,1
25856,0.445135578,0,,,,,,25856,0.460743684,0
25857,0.534206392,1,,,,,,25857,0.60415041,1
25858,0.446242454,0,,,,,,25858,0.486120442,0
25859,0.762468467,1,,,,,,25859,0.484040727,0
25860,0.60514355,1,,,,,,25860,0.511272256,1
25861,0.648649266,1,,,,,,25861,0.493736525,0
25862,0.458931582,0,,,,,,25862,0.470234727,0
25863,0.525715864,1,,,,,,25863,0.4640684,0
25864,0.729001902,1,,,,,,25864,0.596223347,1
25865,0.860534829,1,,,,,,25865,0.336450315,0
