Cust_Tenure,Trans_Mean,Trans_STD,Trans_Freq,Trans_SUM,Food_Mean,Food_STD,Food_Freq,Food_SUM,Promotion_Mean,Promotion_STD,Promotion_Freq,Promotion_SUM,Active_Customer
0.129318394,0.080218183,0.064928864,0.542857143,0.080218183,0.073572649,0.063895751,0.55,0.073572649,0.033950617,0.031522153,0.225806452,0.033950617,0
0.554154995,0.018830985,0.019999554,0.171428571,0.018830985,0.012263268,0.024570827,0.08125,0.012263268,0,0,0,0,0
0.345938375,0.042770069,0.035082791,0.485714286,0.042770069,0.041255658,0.068153458,0.20625,0.041255658,0.002469136,0.00274371,0.129032258,0.002469136,0
0.094304388,0.059326283,0.052172596,0.371428571,0.059326283,0.067622815,0.07147545,0.3875,0.067622815,0,0,0,0,0
0.742763772,0.057860361,0.052059632,0.342857143,0.057860361,0.070371569,0.087181476,0.3,0.070371569,0.009259259,0.012517004,0.096774194,0.009259259,0
0.070028011,0.053444604,0.064461172,0.257142857,0.053444604,0.026878634,0.04430533,0.18125,0.026878634,0,0,0,0,0
0.111577965,0.089088433,0.08387494,0.342857143,0.089088433,0.186522061,0.180145738,0.54375,0.186522061,0,0,0,0,0
0.242296919,0.056861428,0.052012166,0.257142857,0.056861428,0.03995261,0.046111198,0.3625,0.03995261,0,0,0,0,0
0.105042017,0.068163639,0.057342047,0.342857143,0.068163639,0.071714631,0.063723018,0.49375,0.071714631,0.135802469,0.095922902,0.419354839,0.135802469,0
0.081232493,0.091786896,0.109662341,0.228571429,0.091786896,0.024369961,0.040957002,0.1375,0.024369961,0,0,0,0,0
0.867413632,0.101061114,0.082200291,0.485714286,0.101061114,0.047906598,0.044302547,0.38125,0.047906598,0,0,0,0,0
0.220354809,0.087310196,0.074389824,0.685714286,0.087310196,0.191643789,0.15555239,0.65,0.191643789,0.263580247,0.186967001,0.548387097,0.263580247,0
0.078898226,0.045850226,0.054304245,0.342857143,0.045850226,0.096867465,0.110204532,0.425,0.096867465,0.125925926,0.161595409,0.161290323,0.125925926,0
0.076563959,0.053759129,0.058649399,0.285714286,0.053759129,0.074894834,0.075223394,0.425,0.074894834,0.046296296,0.040724693,0.225806452,0.046296296,0
0.891690009,0.014226203,0.015376864,0.171428571,0.014226203,0.01896292,0.029810478,0.1375,0.01896292,0,0,0,0,0
0.224556489,0.272498008,0.193783964,0.742857143,0.272498008,0.167620032,0.145819414,0.675,0.167620032,0.038888889,0.045181847,0.161290323,0.038888889,0
0.943043884,0.047840029,0.045909344,0.428571429,0.047840029,0.107218783,0.10679728,0.58125,0.107218783,0,0,0,0,0
0.048085901,0.0312306,0.033024674,0.2,0.0312306,0.012967854,0.039289258,0.03125,0.012967854,0,0,0,0,0
0.021008403,0.026675398,0.038993668,0.171428571,0.026675398,0.04383392,0.060725412,0.15625,0.04383392,0,0,0,0,0
0.089635854,0.066274385,0.064320786,0.314285714,0.066274385,0.097121464,0.116598368,0.3625,0.097121464,0,0,0,0,0
0.219887955,0.146135175,0.144240337,0.685714286,0.146135175,0.321851198,0.318114335,0.625,0.321851198,0.111111111,0.099604963,0.225806452,0.111111111,0
0.507936508,0.046158253,0.05584178,0.257142857,0.046158253,0.058753736,0.08982849,0.25625,0.058753736,0.07962963,0.14197797,0.258064516,0.07962963,0
0.028944911,0.004808738,0.008739625,0.085714286,0.004808738,0.002418207,0.006039828,0.04375,0.002418207,0.154320988,0.208616726,0.096774194,0.154320988,0
0.19047619,0.04612324,0.042171969,0.342857143,0.04612324,0.052904806,0.056838896,0.4,0.052904806,0.072839506,0.091342929,0.129032258,0.072839506,0
0.108309991,0.046997055,0.053561014,0.342857143,0.046997055,0.095266925,0.144804244,0.2375,0.095266925,0,0,0,0,0
0.622315593,0.054500911,0.041419797,0.514285714,0.054500911,0.089769418,0.082180558,0.55,0.089769418,0.003703704,0.004805945,0.096774194,0.003703704,0
0.067693744,0.04637903,0.053017966,0.285714286,0.04637903,0.023754101,0.032589588,0.2625,0.023754101,0.111728395,0.101626557,0.258064516,0.111728395,0
0.288048553,0.046826461,0.047355713,0.571428571,0.046826461,0.037174281,0.037112187,0.35625,0.037174281,0,0,0,0,0
0.704014939,0.197085032,0.167029592,0.685714286,0.197085032,0.436860436,0.330897601,0.8,0.436860436,0.066049383,0.03671242,0.548387097,0.066049383,0
0.398692811,0.06201075,0.061402392,0.685714286,0.06201075,0.141595599,0.145442319,0.6125,0.141595599,0.044444444,0.042842154,0.290322581,0.044444444,0
0.333333333,0.083893466,0.077181511,0.314285714,0.083893466,0.02136373,0.022974711,0.25,0.02136373,0.075308642,0.068984488,0.322580645,0.075308642,0
0.595704949,0.050371592,0.039020394,0.457142857,0.050371592,0.072180875,0.100381489,0.175,0.072180875,0,0,0,0,0
0.094304388,0.053484324,0.0537784,0.285714286,0.053484324,0.037856251,0.049243042,0.2875,0.037856251,0.350881834,0.264278246,0.387096774,0.350881834,0
0.050420168,0.03255913,0.035377841,0.285714286,0.03255913,0.055041179,0.074190213,0.3125,0.055041179,0,0,0,0,0
0.377684407,0.055734166,0.037622415,0.457142857,0.055734166,0.091474341,0.08658223,0.475,0.091474341,0.064197531,0.097693741,0.225806452,0.064197531,0
0.415966387,0.072094219,0.05589596,0.657142857,0.072094219,0.121995943,0.130213249,0.3,0.121995943,0.020987654,0.023886902,0.193548387,0.020987654,0
